Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
Grand Knight Frog;50;Samael;6;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog;Grand Knight Frog
Gravity Bender;50;Samael;6;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender;Gravity Bender
Gravity Swell;50;Samael;6;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell;Gravity Swell
Gravity Tide;50;Samael;6;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide;Gravity Tide
great sage of croaks;50;Gorc;6;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks;great sage of croaks
Griffin Knight;50;Samael;6;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight;Griffin Knight
Hailstone Dragon;50;Samael;6;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon;Hailstone Dragon
heart of the Wyld;50;Gorc;6;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld;heart of the Wyld
Hekaton;50;Gorc;6;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton;Hekaton
Hekaton, Sky Scraper;50;Gorc;6;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper;Hekaton, Sky Scraper
Hekaton, Son of Earth;50;Gorc;6;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth;Hekaton, Son of Earth
Hellfrog;50;Lich;6;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog;Hellfrog
Hemorrhage Demon;50;Lich;6;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon;Hemorrhage Demon
Heoric Frog;50;Samael;6;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog;Heoric Frog
High Guardian;50;Samael;6;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian;High Guardian
High Judgment;50;Samael;6;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment;High Judgment
High Knight Frog;50;Samael;6;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog;High Knight Frog
Hill Elemental;50;Gorc;6;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental;Hill Elemental
Hired Ogre;50;Lich;6;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre;Hired Ogre
Honeycomb Dragon;50;Gorc;6;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon;Honeycomb Dragon
Horned Rakken;50;Lich;6;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken;Horned Rakken
Hotiron Skeleton;50;Lich;6;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton;Hotiron Skeleton
Hulking Squid;50;Gorc;6;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid;Hulking Squid
Huntress Frog;50;Gorc;6;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog;Huntress Frog
Hypno Caster;50;Lich;6;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster;Hypno Caster
Ice Dragon;50;Samael;6;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon;Ice Dragon
Ice golem;50;Gorc;6;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem;Ice golem
Igneous elemental;50;Lich;6;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental;Igneous elemental
Illusion caster;50;Lich;6;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster;Illusion caster
Invisible Assassin;50;Lich;6;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin;Invisible Assassin
Irate Soul Wisp;50;Samael;6;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp;Irate Soul Wisp
Iron Eagle;50;Samael;6;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle;Iron Eagle
Ivory Knight;50;Samael;6;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight;Ivory Knight
Judgment;50;Samael;6;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment;Judgment
Kestral;50;Samael;6;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral;Kestral
king Garganotos;50;Gorc;6;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos;king Garganotos
Kraken;50;Gorc;6;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken;Kraken
Kraken of fears;50;Gorc;6;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears;Kraken of fears
Kraken of the depths;50;Gorc;6;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths;Kraken of the depths
Lady of the Swamp;50;Gorc;6;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp;Lady of the Swamp
Lake serpent;50;Gorc;6;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent;Lake serpent
Lantern Gloomkin;50;Lich;6;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin;Lantern Gloomkin
Lantern Guardian;50;Samael;6;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian;Lantern Guardian
Lava Crab;50;Lich;6;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab;Lava Crab
Lava Gripper;50;Lich;6;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper;Lava Gripper
Lava Pincer;50;Lich;6;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer;Lava Pincer
Lavafrog;50;Lich;6;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog;Lavafrog
Lavamolten Elemental;50;Lich;6;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental;Lavamolten Elemental
Lavatail Dragon;50;Lich;6;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon;Lavatail Dragon
Leavefall Fairy;50;Gorc;6;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy;Leavefall Fairy
Life Dragon;50;Gorc;6;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon;Life Dragon
Life Drake;50;Gorc;6;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake;Life Drake
Lifeblood Drake;50;Gorc;6;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake;Lifeblood Drake
Lifelink Drake;50;Gorc;6;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake;Lifelink Drake
Lightbound Archer;50;Samael;6;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer;Lightbound Archer
Lightguard Archer;50;Samael;6;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer;Lightguard Archer
Lightning Baron;50;Samael;6;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron;Lightning Baron
Lightning Demigod;50;Samael;6;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod;Lightning Demigod
Lightning Drake;50;Samael;6;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake;Lightning Drake
Lightning Elemental;50;Samael;6;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental;Lightning Elemental
Lightning Lord;50;Samael;6;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord;Lightning Lord
Lightsworn Archer;50;Samael;6;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer;Lightsworn Archer
Lilypad Leaper;50;Samael;6;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper;Lilypad Leaper
Lumin Guardian;50;Samael;6;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian;Lumin Guardian
Luminous Knight;50;Samael;6;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight;Luminous Knight
Lurking Dragon;50;Samael;6;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon;Lurking Dragon
Magmatail Dragon;50;Lich;6;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon;Magmatail Dragon
Majestic Guardian;50;Samael;6;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian;Majestic Guardian
Marble Sphinx;50;Samael;6;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx;Marble Sphinx
Marsh Ogre;50;Lich;6;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre;Marsh Ogre
Master of Elements;50;Samael;6;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements;Master of Elements
Mega Garganotos;50;Gorc;6;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos;Mega Garganotos
Mentor Tsunamari;50;Gorc;6;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari;Mentor Tsunamari
Mercenary Ogre;50;Lich;6;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre;Mercenary Ogre
Mermaid Battlemage;50;Gorc;6;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage;Mermaid Battlemage
Mermaid Mage;50;Gorc;6;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage;Mermaid Mage
Mermaid Sorceress;50;Gorc;6;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress;Mermaid Sorceress
Mighty Clawkin;50;Gorc;6;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin;Mighty Clawkin
Mire Ogre;50;Lich;6;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre;Mire Ogre
Molten Skeleton;50;Lich;6;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton;Molten Skeleton
Monstrous Squid;50;Gorc;6;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid;Monstrous Squid
Moss Golem;50;Gorc;6;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem;Moss Golem
Mountain dragon;50;Gorc;6;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon;Mountain dragon
Mountain Titan;50;Gorc;6;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan;Mountain Titan
Mounted Turtle;50;Gorc;6;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle;Mounted Turtle
Nix elemental;50;Lich;6;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental;Nix elemental
Nixfire Elemental;50;Lich;6;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental;Nixfire Elemental
Nixflame elemental;50;Lich;6;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental;Nixflame elemental
Noxious Bullfrog;50;Lich;6;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog;Noxious Bullfrog
Obsidian Knight;50;Lich;6;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight;Obsidian Knight
Obsidiantail Dragon;50;Lich;6;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon;Obsidiantail Dragon
Olitusker;50;Gorc;6;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker;Olitusker
Onyx Kinght;50;Lich;6;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght;Onyx Kinght
Opal Knight;50;Samael;6;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight;Opal Knight
Oracle;50;Samael;6;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle;Oracle
